Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2025-01-20,142.5810089111328,148.92927919460303,137.05252179695495,139.1219632697164,825973500
2025-01-27,120.03717041015625,128.96472909358764,116.218215171547,124.76588049960354,2646704500
2025-02-03,129.8044891357422,130.3343429768511,112.97909741423553,114.71861944268751,1369686400
2025-02-10,138.81202697753906,139.21191146517995,129.04469505802552,130.05441330481878,949079700
2025-02-17,134.3932342529297,143.40078032914826,133.99334973043614,141.23137552265646,758833800
2025-02-24,124.88583374023438,138.55209329498848,116.36816723503377,136.52264970100697,1677630500
2025-03-03,112.65918731689453,123.66617113649778,107.5305852358904,123.47622827864049,1756820000
2025-03-10,121.63673400878906,121.84667568023235,104.74135288535824,109.86995524243233,1621837200
2025-03-17,117.67863464355469,122.86769511031049,114.51921214354853,122.71772080939661,1343942800
2025-03-24,109.65010070800781,122.1978268089162,109.05021109179135,119.85824738925857,1156137600
2025-03-31,94.29288482666016,111.95968436818397,92.09328707213024,105.11092121155868,1613471100
2025-04-07,110.90986633300781,115.07910764062758,86.60428107778468,87.44412495499881,2451432700
2025-04-14,101.47157287597656,114.26925215292954,100.0318394876262,114.08928452588457,1183206300
2025-04-21,110.98986053466797,111.89969145813895,95.02275690332931,98.75207586223196,1248911600
2025-04-28,114.4792251586914,115.37906338859757,104.06111759069277,109.6701003244293,1039513700
2025-05-05,116.62882995605469,118.658460297629,110.79988625006838,112.88951088889792,829847900
2025-05-12,135.37542724609375,136.32526708518697,120.25817546458347,121.94787127599703,1289809300
2025-05-19,131.26617431640625,137.3750664346639,129.13657112060253,132.36598085397307,1011442800
2025-05-26,135.10548400878906,143.46396760208745,132.8958783257386,134.12565085658414,1199387500
2025-06-02,141.69427490234375,143.9738597952876,135.37541484399472,135.4654101009413,975746800
2025-06-09,141.94422912597656,144.97367786361048,140.8244373237148,143.16400887744845,851876000
2025-06-16,143.83387756347656,146.1836049259659,142.63399990245927,143.33393362374542,726692000
2025-06-23,157.73231506347656,158.69221415352254,142.01407617065766,142.4840247007633,1072401700
2025-06-30,159.3221435546875,160.96195919540767,151.47303223919351,158.38224643310164,722664100
2025-07-07,164.90151977539062,167.87118822352508,157.32236724253224,158.18227149446815,823265800
2025-07-14,172.39068603515625,174.23047621121117,162.00185078986132,165.35146628587228,833732200
2025-07-21,173.48056030273438,174.70042482917586,164.56156156931652,172.73064433600786,721624000
2025-07-28,173.70053100585938,183.27945912811515,170.8708463561498,174.00050043383274,894627600
2025-08-04,182.6795196533203,183.85939533079764,174.5004438036216,175.14037146116019,717049600
2025-08-11,180.42977905273438,184.45932630476278,178.02004541114613,182.02960588910253,749836800
2025-08-18,177.97006225585938,182.9195045720394,168.78108952620022,180.57977042360218,845210200
2025-08-25,174.1604766845703,184.44933228584327,173.13059331145078,178.33002288329547,1092265600
2025-09-01,167.0012969970703,172.39069267338886,164.05163046676552,169.98095894662285,761701300
2025-09-08,177.80007934570312,180.2597951138234,166.72131923115583,167.53122601473396,824239800
2025-09-15,176.66015625,178.84004274085257,168.40062189031562,175.66021195792464,928588600
2025-09-22,178.18008422851562,184.53973083561687,173.12036831385433,175.2902456987853,945921100
2025-09-29,187.6095428466797,191.03935969622864,180.3099617344971,180.41994095879878,878292100
2025-10-06,183.14981079101562,195.6091088464203,182.0398719523004,185.48967690789428,879706600
2025-10-13,183.20980834960938,190.0994244357148,177.28013031246326,187.95954409823196,926433200
2025-10-20,186.24961853027344,187.45955783835475,176.75014774631688,183.11980326843155,657694900
2025-10-27,202.47872924804688,212.17818602373606,188.41949940338657,189.97942534691666,1118935100
2025-11-03,188.1395263671875,211.32823865691785,178.90005019006267,208.06842551648697,1028509000
2025-11-10,190.15940856933594,199.9288687999689,180.56994624954729,195.09913592714105,924330700
2025-11-17,178.8700408935547,195.98908239131697,172.92036011460985,185.95964230386582,1324905200
2025-11-24,176.99014282226562,183.48978083551265,169.54056076636263,179.48000964635224,882403400
2025-12-01,182.39984130859375,185.64966024588742,173.6703166851627,174.7502583475853,847237200
2025-12-08,175.02000427246094,188.0,174.6199951171875,182.63999938964844,898294700
2025-12-15,180.99000549316406,181.4499969482422,170.30999755859375,177.94000244140625,1037161100
2025-12-22,190.52999877929688,192.69000244140625,182.35000610351562,183.9199981689453,509206800
2025-12-29,188.85000610351562,192.92999267578125,185.91000366210938,187.7100067138672,486034400
2026-01-05,184.86000061035156,193.6300048828125,183.6699981689453,191.75999450683594,817720000
2026-01-12,186.22999572753906,190.44000244140625,180.8000030517578,183.22000122070312,851839300
2026-01-19,178.07000732421875,182.3800048828125,177.61000061035156,181.89999389648438,223345300
